Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,RSI-7,RSI-14,RSI,%R,%K,%D,STOCH,MACD-SL,DMI,MACD_n,SIGNAL LINE_n,MACD-SL_n,plusDI_n,minusDI_n,DMI_n,STOCH_n,%K_n,%D_n,RSI_n,%R_n,Trend GT
25/7/2002,53.5,53.5,53.5,53.5,0,32.14344406,wait or hold,-0.006013214422893043,0.09525226396304848,22.183567483031457,18.04060307789817,0.0,32.83573447196612,39.069840630472505,39.069840630472505,-93.75,6.25,13.690476190476188,-7.440476190476188,-0.10126547838594152,4.142964405133288,0.11998471118192744,0.2062919576550668,0.13179666623759978,0.11987820651001035,-0.06920182911272177,0.12404376064125144,-0.08347245409015236,-0.875,-0.7261904761904764,-0.41028432852493,-0.875,up
26/7/2002,53.5,50.5,53.0,52.0,5646900,31.24222946,wait or hold,-0.029709274866327462,0.09013065738298084,21.5197776641065,20.493040598767394,0.0,27.197287043844256,35.63761240416903,35.63761240416903,-85.71428571428571,14.285714285714286,8.928571428571425,5.357142857142861,-0.1198399322493083,1.0267370653391055,0.10930775523815384,0.20335966066376843,0.11715074198707476,0.08636854885526679,0.05733076787329616,-0.011782929418297172,0.1318864774624351,-0.7142857142857142,-0.8214285714285716,-0.5159016315127132,-0.7142857142857142,up
29/7/2002,53.0,51.5,53.0,52.0,1907600,31.24222946,wait or hold,-0.05155538921686542,0.08434642770640058,21.195912159830005,20.18462714620889,0.0,27.197287043844256,35.63761240416902,35.63761240416902,-85.71428571428571,14.285714285714286,11.607142857142854,2.6785714285714324,-0.135901816923266,1.0112850136211158,0.09946434683614824,0.20004798902080734,0.10448597412978611,0.07001906312187223,0.041418291096387394,-0.012456436454411635,0.08681135225375414,-0.7142857142857142,-0.767857142857143,-0.5159016315127136,-0.7142857142857142,up
30/7/2002,54.0,53.0,54.0,53.0,5283600,31.84303856,wait or hold,-0.06706668673403016,0.07818841939164152,21.774345151145067,19.779286962428507,0.0,37.01190882367071,39.731209558790134,39.731209558790134,-75.0,25.0,17.857142857142854,7.142857142857146,-0.14525510612567166,1.995058188716559,0.09247527620067819,0.19652231617353477,0.09711092202007854,0.0992197091133531,0.02050491586049419,0.030423186747730036,0.16193656093488928,-0.5,-0.6428571428571431,-0.3899325343308535,-0.5,up
31/7/2002,54.5,53.5,53.5,54.5,1047000,32.74425507,wait or hold,-0.07437647625686594,0.07200602975537787,21.94944834628273,19.47965724656783,0.0,49.03544669113585,45.34643730844194,45.34643730844194,-60.0,40.0,26.42857142857142,13.57142857142858,-0.1463825060122438,2.4697910997149,0.0891816358556985,0.19298268417602804,0.09622196918947346,0.10805932664894269,0.00504563269449676,0.05111532276098307,0.2701168614357241,-0.19999999999999996,-0.47142857142857186,-0.2171394764463791,-0.19999999999999996,up
1/8/2002,55.0,53.5,54.5,54.5,1108000,32.74425507,wait or hold,-0.08103260947915913,0.06582598609971071,22.122884892362187,19.182879435170445,0.0,49.03544669113585,45.34643730844194,45.34643730844194,-55.55555555555556,44.44444444444444,36.481481481481474,7.962962962962969,-0.14685859557886985,2.9400054571917416,0.08618251955364653,0.18944439533359136,0.0958465734023044,0.1168148078543585,-0.01026650752697078,0.07161050903284694,0.1757373400111275,-0.11111111111111116,-0.2703703703703709,-0.2171394764463791,-0.11111111111111116,up
2/8/2002,54.0,52.5,54.0,53.0,1549500,31.84303856,wait or hold,-0.09407017268631535,0.05939054828770129,21.67325378566027,19.80921438616568,0.0,38.92267713189908,40.92436153997853,40.92436153997853,-64.28571428571429,35.714285714285715,40.05291005291004,-4.338624338624328,-0.15346072097401664,1.8640393994945867,0.08030806256071044,0.18575988449918213,0.09064080912298489,0.09411638129381461,0.022049010099120636,0.024712483857611156,-0.03127434613244495,-0.2857142857142857,-0.19894179894179964,-0.35321659180060694,-0.2857142857142858,up
5/8/2002,52.5,50.5,52.5,51.0,2773000,30.64141464,wait or hold,-0.11536170514474264,0.05237969704266016,21.125143871741596,21.33142081846999,0.0,29.468832978184082,35.897766930517705,35.897766930517705,-92.85714285714286,7.142857142857143,29.100529100529087,-21.957671957671945,-0.1677414021874028,-0.20627694672839425,0.07071453731727528,0.18174592956319002,0.07938051706618032,0.0664465149461626,0.10058668186007891,-0.06552618810725852,-0.3277685030606585,-0.8571428571428571,-0.4179894179894186,-0.5078960976084006,-0.8571428571428572,up
6/8/2002,51.0,49.75,50.5,51.0,5193100,30.64141464,wait or hold,-0.13489657567519941,0.044889480229913466,20.85581427829001,21.824415932422486,0.0,29.468832978184082,35.897766930517705,35.897766930517705,-83.87096774193549,16.129032258064516,19.662058371735778,-3.533026113671262,-0.17978605590511287,-0.9686016541324776,0.061912527695511255,0.17745752125208192,0.0698833287627707,0.05285012913917542,0.12602258044628134,-0.09875355904873462,-0.017717701545588715,-0.6774193548387097,-0.6067588325652846,-0.5078960976084006,-0.6774193548387097,up
7/8/2002,52.5,51.5,52.0,52.0,2351400,31.24222946,wait or hold,-0.14806438303114788,0.03719494942213815,22.073386769380722,21.48866406093472,0.0,39.47374199024575,40.15986908308788,40.15986908308788,-70.96774193548387,29.032258064516128,17.43471582181258,11.597542242703547,-0.18525933245328602,0.5847227084460016,0.05597938537629865,0.1730521361088928,0.06556765981678803,0.11431602720365852,0.1086995881658479,-0.031048965079082946,0.2369002100274631,-0.4193548387096775,-0.6513056835637485,-0.37674172653159654,-0.4193548387096775,up
